date,amount,merchant,category,type,bank,day_of_week,hour,time_category,period_code,period_range
2025-05-09 15:14:00,13000,루틴(ROUTINE),,일시불,신한,4,15,afternoon,2025-W18,2025-05-05/2025-05-11
2025-05-08 16:01:00,2600,더비즈랩 성신여대 수하루점,,일시불,신한,3,16,afternoon,2025-W18,2025-05-05/2025-05-11
2025-05-07 14:31:00,3900,매머드익스프레스성신여대점,,일시불,신한,2,14,afternoon,2025-W18,2025-05-05/2025-05-11
2025-05-05 01:40:00,46000,생마차(고대안암점),,일시불,신한,0,1,night,2025-W18,2025-05-05/2025-05-11
2025-05-04 21:14:00,12000,포토이즘컬러드 서울고대안암점,,일시불,신한,6,21,evening,2025-W18,2025-04-28/2025-05-04
2025-05-04 21:10:00,75400,비테라스 고대점,,일시불,신한,6,21,evening,2025-W18,2025-04-28/2025-05-04
2025-05-03 19:36:00,13300,(주)카카오,,일시불,신한,5,19,evening,2025-W17,2025-04-28/2025-05-04
2025-05-03 12:44:00,1192,Amazon_AWS,,일시불,신한,5,12,afternoon,2025-W17,2025-04-28/2025-05-04
2025-05-03 00:38:00,69500,주식회사 퍼스트인텐션 생활맥주,,일시불,신한,5,0,night,2025-W17,2025-04-28/2025-05-04
2025-05-02 15:07:00,1000,맬크(melc),,일시불,신한,4,15,afternoon,2025-W17,2025-04-28/2025-05-04
2025-05-02 15:06:00,33000,맬크(melc),,일시불,신한,4,15,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-30 20:42:00,54000,정통집,,일시불,신한,2,20,evening,2025-W17,2025-04-28/2025-05-04
2025-04-30 16:55:00,5000,더비즈랩 성신여대 수하루점,,일시불,신한,2,16,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-30 14:30:00,1700,카페무솔트,,일시불,신한,2,14,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-29 15:21:00,12000,시샘달 아뜰리에(sisemdal ateli,,일시불,신한,1,15,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-29 15:16:00,7900,미스터육회연어왕 성신여대점,,일시불,신한,1,15,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-29 15:06:00,18500,(주)카카오,,일시불,신한,1,15,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-28 12:00:00,50000,성북구도시관리공단,,일시불,신한,0,12,afternoon,2025-W17,2025-04-28/2025-05-04
2025-04-27 22:11:00,5000,성신정문점 런드리익스프레스샵,,일시불,신한,6,22,evening,2025-W17,2025-04-21/2025-04-27
2025-04-27 21:42:00,4950,성신정문점 런드리익스프레스샵,,일시불,신한,6,21,evening,2025-W17,2025-04-21/2025-04-27
2025-04-27 21:41:00,4950,성신정문점 런드리익스프레스샵,,일시불,신한,6,21,evening,2025-W17,2025-04-21/2025-04-27
2025-04-27 16:18:00,4000,포토이즘박스 인사동점,,일시불,신한,6,16,afternoon,2025-W17,2025-04-21/2025-04-27
2025-04-27 14:39:00,28000,랑솜,,일시불,신한,6,14,afternoon,2025-W17,2025-04-21/2025-04-27
2025-04-25 09:47:00,3900,(주)카카오,,일시불,신한,4,9,morning,2025-W16,2025-04-21/2025-04-27
2025-04-24 12:54:00,3600,더비즈랩 성신여대 수하루점,,일시불,신한,3,12,afternoon,2025-W16,2025-04-21/2025-04-27
2025-04-24 07:48:00,10890,(주)아이패밀리에스씨,,일시불,신한,3,7,morning,2025-W16,2025-04-21/2025-04-27
2025-04-23 01:49:00,6000,씨유 성북명랑점,,일시불,신한,2,1,night,2025-W16,2025-04-21/2025-04-27
2025-04-22 21:16:00,9000,주식회사 몽땅컴퍼니,,일시불,신한,1,21,evening,2025-W16,2025-04-21/2025-04-27
2025-04-22 16:43:00,7000,아뜰리에마미,,일시불,신한,1,16,afternoon,2025-W16,2025-04-21/2025-04-27
2025-04-22 16:18:00,11500,투고샐러드,,일시불,신한,1,16,afternoon,2025-W16,2025-04-21/2025-04-27
2025-04-20 19:57:00,12700,맘스터치성신여대점,,일시불,신한,6,19,evening,2025-W16,2025-04-14/2025-04-20
2025-04-20 14:42:00,16500,씨제이올리브영(주)돈암점,,일시불,신한,6,14,afternoon,2025-W16,2025-04-14/2025-04-20
2025-04-20 14:26:00,16880,(주)대서양식자재마트(DSY MART),,일시불,신한,6,14,afternoon,2025-W16,2025-04-14/2025-04-20
2025-04-19 21:10:00,1100,메가엠지씨커피 성신여대점,,일시불,신한,5,21,evening,2025-W15,2025-04-14/2025-04-20
2025-04-17 20:59:00,3200,씨유 성북명랑점,,일시불,신한,3,20,evening,2025-W15,2025-04-14/2025-04-20
2025-04-17 17:48:00,2300,매머드익스프레스성신여대점,,일시불,신한,3,17,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-17 16:51:00,21460,샹츠마라 성신여대점,,일시불,신한,3,16,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-17 16:43:00,5000,김민혁커피,,일시불,신한,3,16,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-17 12:10:00,4000,김민혁커피,,일시불,신한,3,12,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-16 13:10:00,3800,매머드익스프레스성신여대점,,일시불,신한,2,13,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-16 13:07:00,10400,오롯이,,일시불,신한,2,13,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-15 21:33:00,21800,씨제이올리브영(주)돈암중앙점,,일시불,신한,1,21,evening,2025-W15,2025-04-14/2025-04-20
2025-04-14 13:28:00,15500,(주)아이패밀리에스씨,,일시불,신한,0,13,afternoon,2025-W15,2025-04-14/2025-04-20
2025-04-13 21:40:00,4000,주식회사 북돈산(Book Done San),,일시불,신한,6,21,evening,2025-W15,2025-04-07/2025-04-13
2025-04-13 17:29:00,9000,쏠티캐빈 화이트,,일시불,신한,6,17,afternoon,2025-W15,2025-04-07/2025-04-13
2025-04-10 14:06:00,3600,더비즈랩 성신여대 수하루점,,일시불,신한,3,14,afternoon,2025-W14,2025-04-07/2025-04-13
2025-04-09 20:51:00,17000,오와케이크 성산여대점,,일시불,신한,2,20,evening,2025-W14,2025-04-07/2025-04-13
2025-04-09 16:45:00,6900,오와케이크 성산여대점,,일시불,신한,2,16,afternoon,2025-W14,2025-04-07/2025-04-13
2025-04-08 21:15:00,12000,성신전자담배,,일시불,신한,1,21,evening,2025-W14,2025-04-07/2025-04-13
2025-04-08 21:08:00,16300,씨제이올리브영(주)돈암점,,일시불,신한,1,21,evening,2025-W14,2025-04-07/2025-04-13
2025-04-08 15:00:00,26000,오프타임,,일시불,신한,1,15,afternoon,2025-W14,2025-04-07/2025-04-13
2025-04-08 14:48:00,67915,주식회사 무신사페이먼츠(MU,,일시불,신한,1,14,afternoon,2025-W14,2025-04-07/2025-04-13
2025-04-08 14:45:00,9500,하우 투 (how to),,일시불,신한,1,14,afternoon,2025-W14,2025-04-07/2025-04-13
2025-04-08 14:02:00,13110,샹츠마라 성신여대점,,일시불,신한,1,14,afternoon,2025-W14,2025-04-07/2025-04-13
2025-04-08 13:57:00,8000,네일도 예쁜너,,일시불,신한,1,13,afternoon,2025-W14,2025-04-07/2025-04-13
2025-04-06 21:35:00,7000,주식회사 에이피알,,일시불,신한,6,21,evening,2025-W14,2025-03-31/2025-04-06
2025-04-06 20:08:00,44000,비밀의 화원,,일시불,신한,6,20,evening,2025-W14,2025-03-31/2025-04-06
2025-04-06 19:16:00,13000,가비아노,,일시불,신한,6,19,evening,2025-W14,2025-03-31/2025-04-06
2025-04-05 13:38:00,6000,주식회사 서북,,일시불,신한,5,13,afternoon,2025-W13,2025-03-31/2025-04-06
2025-04-03 14:32:00,2300,매머드익스프레스성신여대점,,일시불,신한,3,14,afternoon,2025-W13,2025-03-31/2025-04-06
2025-04-03 14:10:00,6200,알촌성신여대점,,일시불,신한,3,14,afternoon,2025-W13,2025-03-31/2025-04-06
2025-04-03 14:04:00,5000,주식회사 서북,,일시불,신한,3,14,afternoon,2025-W13,2025-03-31/2025-04-06
2025-04-03 14:01:00,38000,윙크 성신여대점,,일시불,신한,3,14,afternoon,2025-W13,2025-03-31/2025-04-06
2025-04-02 19:47:00,6344,Amazon_AWS,,일시불,신한,2,19,evening,2025-W13,2025-03-31/2025-04-06
2025-04-02 12:42:00,2400,매머드익스프레스성신여대점,,일시불,신한,2,12,afternoon,2025-W13,2025-03-31/2025-04-06
2025-04-01 23:03:00,6500,씨유 성북명랑점,,일시불,신한,1,23,evening,2025-W13,2025-03-31/2025-04-06
2025-03-31 19:20:00,35390,(주)대서양식자재마트(DSY MART),,일시불,신한,0,19,evening,2025-W13,2025-03-31/2025-04-06
2025-03-31 14:17:00,8500,인하프(inhalf)성신여대점,,일시불,신한,0,14,afternoon,2025-W13,2025-03-31/2025-04-06
